目标ID,部件ID,毁伤模式编号,功能准则ID,功能准则名称,功能准则类型,功能准则描述,物理准则ID
MB4002,BJ0048,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0050,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0050,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0051,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0051,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0053,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0053,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0054,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0054,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0055,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0055,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0056,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0056,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0057,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0057,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0058,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0058,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0059,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0059,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0060,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0060,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0061,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0061,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0062,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0062,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0063,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0063,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0064,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0064,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0065,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0065,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0066,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0066,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0067,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0067,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0068,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0068,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0069,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0069,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0070,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0070,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0071,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0071,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0072,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0072,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0074,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0074,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0074,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0074,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0075,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0075,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0075,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0075,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0076,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0076,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0076,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0076,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0077,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0077,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0077,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0077,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0078,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0078,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0078,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0078,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0079,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0079,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0079,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0079,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0081,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0081,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0081,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0081,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0082,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0082,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0082,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0082,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0083,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0083,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0083,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0083,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0084,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0084,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0084,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0084,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
